Geography,Cases
"Autauga County, Alabama",11
"Baldwin County, Alabama",14
"Barbour County, Alabama",6
"Bibb County, Alabama",4
"Blount County, Alabama",8
"Bullock County, Alabama",1
"Butler County, Alabama",1
"Calhoun County, Alabama",21
"Chambers County, Alabama",13
"Cherokee County, Alabama",1
"Chilton County, Alabama",4
"Choctaw County, Alabama",0
"Clarke County, Alabama",5
"Clay County, Alabama",1
"Cleburne County, Alabama",3
"Coffee County, Alabama",11
"Colbert County, Alabama",6
"Conecuh County, Alabama",0
"Coosa County, Alabama",1
"Covington County, Alabama",5
"Crenshaw County, Alabama",6
"Cullman County, Alabama",7
"Dale County, Alabama",19
"Dallas County, Alabama",7
"Dekalb County, Alabama",4
"Elmore County, Alabama",15
"Escambia County, Alabama",0
"Etowah County, Alabama",13
"Fayette County, Alabama",2
"Franklin County, Alabama",9
"Geneva County, Alabama",15
"Greene County, Alabama",3
"Hale County, Alabama",6
"Henry County, Alabama",5
"Houston County, Alabama",38
"Jackson County, Alabama",4
"Jefferson County, Alabama",188
"Lamar County, Alabama",3
"Lauderdale County, Alabama",13
"Lawrence County, Alabama",4
"Lee County, Alabama",31
"Limestone County, Alabama",28
"Lowndes County, Alabama",6
"Macon County, Alabama",5
"Madison County, Alabama",81
"Marengo County, Alabama",1
"Marion County, Alabama",4
"Marshall County, Alabama",12
"Mobile County, Alabama",174
"Monroe County, Alabama",1
"Montgomery County, Alabama",178
"Morgan County, Alabama",20
"Perry County, Alabama",3
"Pickens County, Alabama",5
"Pike County, Alabama",16
"Randolph County, Alabama",3
"Russell County, Alabama",19
"St. Clair County, Alabama",7
"Shelby County, Alabama",18
"Sumter County, Alabama",3
"Talladega County, Alabama",13
"Tallapoosa County, Alabama",5
"Tuscaloosa County, Alabama",75
"Walker County, Alabama",1
"Washington County, Alabama",2
"Wilcox County, Alabama",1
"Winston County, Alabama",1
"Aleutians East Borough, Alaska",0
"Aleutians West Census Area, Alaska",0
"Anchorage Municipality, Alaska",115
"Bethel Census Area, Alaska",1
"Bristol Bay Borough, Alaska",0
"Denali Borough, Alaska",0
"Dillingham Census Area, Alaska",1
"Fairbanks North Star Borough, Alaska",19
"Haines Borough, Alaska",0
"Hoonah-Angoon Census Area, Alaska",0
"Juneau City and Borough, Alaska",0
"Kenai Peninsula Borough, Alaska",5
"Ketchikan Gateway Borough, Alaska",3
"Kodiak Island Borough, Alaska",0
"Kusilvak Census Area, Alaska",1
"Lake and Peninsula Borough, Alaska",0
"Matanuska-Susitna Borough, Alaska",10
"Nome Census Area, Alaska",0
"North Slope Borough, Alaska",3
"Northwest Arctic Borough, Alaska",1
"Petersburg Census Area, Alaska",0
"Prince of Wales-Hyder Census Area, Alaska",0
"Sitka City and Borough, Alaska",0
"Skagway Municipality, Alaska",0
"Southeast Fairbanks Census Area, Alaska",0
"Valdez-Cordova Census Area, Alaska",Data not available
"Wrangell City and Borough, Alaska",0
"Yakutat City and Borough, Alaska",0
"Yukon-Koyukuk Census Area, Alaska",1
"Apache County, Arizona",111
"Cochise County, Arizona",13
"Coconino County, Arizona",41
"Gila County, Arizona",31
"Graham County, Arizona",10
"Greenlee County, Arizona",0
"La Paz County, Arizona",7
"Maricopa County, Arizona","1,474"
"Mohave County, Arizona",16
"Navajo County, Arizona",66
"Pima County, Arizona",283
"Pinal County, Arizona",53
"Santa Cruz County, Arizona",6
"Yavapai County, Arizona",7
"Yuma County, Arizona",33
"Arkansas County, Arkansas",6
"Ashley County, Arkansas",6
"Baxter County, Arkansas",3
"Benton County, Arkansas",46
"Boone County, Arkansas",2
"Bradley County, Arkansas",2
"Calhoun County, Arkansas",1
"Carroll County, Arkansas",3
"Chicot County, Arkansas",7
"Clark County, Arkansas",4
"Clay County, Arkansas",3
"Cleburne County, Arkansas",4
"Cleveland County, Arkansas",9
"Columbia County, Arkansas",7
"Conway County, Arkansas",6
"Craighead County, Arkansas",30
"Crawford County, Arkansas",12
"Crittenden County, Arkansas",24
"Cross County, Arkansas",4
"Dallas County, Arkansas",2
"Desha County, Arkansas",3
"Drew County, Arkansas",7
"Faulkner County, Arkansas",23
"Franklin County, Arkansas",5
"Fulton County, Arkansas",0
"Garland County, Arkansas",58
"Grant County, Arkansas",3
"Greene County, Arkansas",5
"Hempstead County, Arkansas",15
"Hot Spring County, Arkansas",44
"Howard County, Arkansas",3
"Independence County, Arkansas",4
"Izard County, Arkansas",1
"Jackson County, Arkansas",12
"Jefferson County, Arkansas",22
"Johnson County, Arkansas",6
"Lafayette County, Arkansas",2
"Lawrence County, Arkansas",1
"Lee County, Arkansas",9
"Lincoln County, Arkansas",3
"Little River County, Arkansas",1
"Logan County, Arkansas",2
"Lonoke County, Arkansas",17
"Madison County, Arkansas",0
"Marion County, Arkansas",1
"Miller County, Arkansas",32
"Mississippi County, Arkansas",49
"Monroe County, Arkansas",6
"Montgomery County, Arkansas",0
"Nevada County, Arkansas",3
"Newton County, Arkansas",0
"Ouachita County, Arkansas",36
"Perry County, Arkansas",2
"Phillips County, Arkansas",9
"Pike County, Arkansas",3
"Poinsett County, Arkansas",11
"Polk County, Arkansas",3
"Pope County, Arkansas",24
"Prairie County, Arkansas",1
"Pulaski County, Arkansas",193
"Randolph County, Arkansas",0
"St. Francis County, Arkansas",11
"Saline County, Arkansas",21
"Scott County, Arkansas",0
"Searcy County, Arkansas",1
"Sebastian County, Arkansas",35
"Sevier County, Arkansas",6
"Sharp County, Arkansas",1
"Stone County, Arkansas",0
"Union County, Arkansas",10
"Van Buren County, Arkansas",5
"Washington County, Arkansas",68
"White County, Arkansas",32
"Woodruff County, Arkansas",1
"Yell County, Arkansas",10
"Alameda County, California",179
"Alpine County, California",0
"Amador County, California",10
"Butte County, California",81
"Calaveras County, California",11
"Colusa County, California",2
"Contra Costa County, California",166
"Del Norte County, California",21
"El Dorado County, California",14
"Fresno County, California",234
"Glenn County, California",4
"Humboldt County, California",28
"Imperial County, California",16
"Inyo County, California",1
"Kern County, California",209
"Kings County, California",23
"Lake County, California",48
"Lassen County, California",0
"Los Angeles County, California","2,400"
"Madera County, California",25
"Marin County, California",18
"Mariposa County, California",2
"Mendocino County, California",18
"Merced County, California",73
"Modoc County, California",0
"Mono County, California",2
"Monterey County, California",66
"Napa County, California",41
"Nevada County, California",6
"Orange County, California",490
"Placer County, California",30
"Plumas County, California",2
"Riverside County, California",377
"Sacramento County, California",440
"San Benito County, California",6
"San Bernardino County, California",463
"San Diego County, California",530
"San Francisco County, California",340
"San Joaquin County, California",165
"San Luis Obispo County, California",21
"San Mateo County, California",91
"Santa Barbara County, California",58
"Santa Clara County, California",205
"Santa Cruz County, California",69
"Shasta County, California",64
"Sierra County, California",0
"Siskiyou County, California",39
"Solano County, California",111
"Sonoma County, California",65
"Stanislaus County, California",203
"Sutter County, California",25
"Tehama County, California",20
"Trinity County, California",6
"Tulare County, California",126
"Tuolumne County, California",10
"Ventura County, California",105
"Yolo County, California",41
"Yuba County, California",49
"Adams County, Colorado",99
"Alamosa County, Colorado",1
"Arapahoe County, Colorado",85
"Archuleta County, Colorado",1
"Baca County, Colorado",0
"Bent County, Colorado",0
"Boulder County, Colorado",19
"Broomfield County, Colorado",8
"Chaffee County, Colorado",0
"Cheyenne County, Colorado",0
"Clear Creek County, Colorado",0
"Conejos County, Colorado",4
"Costilla County, Colorado",1
"Crowley County, Colorado",0
"Custer County, Colorado",0
"Delta County, Colorado",2
"Denver County, Colorado",292
