,Geography,Cases
27,"Etowah County, Alabama",8
36,"Jefferson County, Alabama",10
50,"Montgomery County, Alabama",5
69,"Anchorage Municipality, Alaska",14
70,"Bethel Census Area, Alaska",49
81,"Kusilvak Census Area, Alaska",6
84,"Nome Census Area, Alaska",18
92,"Valdez-Cordova Census Area, Alaska",Data not available
103,"Maricopa County, Arizona",82
106,"Pima County, Arizona",20
107,"Pinal County, Arizona",27
110,"Yuma County, Arizona",16
141,"Howard County, Arkansas",6
170,"Pulaski County, Arkansas",6
182,"Washington County, Arkansas",20
186,"Alameda County, California",130
192,"Contra Costa County, California",61
195,"Fresno County, California",31
198,"Imperial County, California",39
200,"Kern County, California",30
204,"Los Angeles County, California",546
209,"Merced County, California",11
212,"Monterey County, California",11
215,"Orange County, California",171
216,"Placer County, California",9
218,"Riverside County, California",62
219,"Sacramento County, California",77
221,"San Bernardino County, California",56
222,"San Diego County, California",208
223,"San Francisco County, California",57
224,"San Joaquin County, California",33
226,"San Mateo County, California",46
227,"Santa Barbara County, California",19
228,"Santa Clara County, California",141
233,"Solano County, California",23
235,"Stanislaus County, California",15
239,"Tulare County, California",8
241,"Ventura County, California",28
242,"Yolo County, California",5
244,"Adams County, Colorado",6
246,"Arapahoe County, Colorado",9
260,"Denver County, Colorado",12
306,"Weld County, Colorado",7
308,"Fairfield County, Connecticut",22
309,"Hartford County, Connecticut",23
312,"New Haven County, Connecticut",16
317,"New Castle County, Delaware",6
319,District Of Columbia,15
320,"Alachua County, Florida",6
325,"Broward County, Florida",45
329,"Clay County, Florida",5
330,"Collier County, Florida",21
334,"Duval County, Florida",27
335,"Escambia County, Florida",14
347,"Hillsborough County, Florida",50
354,"Lee County, Florida",20
355,"Leon County, Florida",6
359,"Manatee County, Florida",5
360,"Marion County, Florida",5
361,"Martin County, Florida",5
362,"Miami-Dade County, Florida",126
363,"Monroe County, Florida",7
365,"Okaloosa County, Florida",6
367,"Orange County, Florida",40
368,"Osceola County, Florida",10
369,"Palm Beach County, Florida",38
370,"Pasco County, Florida",8
371,"Pinellas County, Florida",22
372,"Polk County, Florida",7
375,"St. Lucie County, Florida",9
377,"Sarasota County, Florida",7
378,"Seminole County, Florida",6
411,"Chatham County, Georgia",10
417,"Clayton County, Georgia",9
419,"Cobb County, Georgia",23
421,"Colquitt County, Georgia",5
430,"Dekalb County, Georgia",49
446,"Fulton County, Georgia",31
453,"Gwinnett County, Georgia",41
455,"Hall County, Georgia",5
492,"Muscogee County, Georgia",11
507,"Richmond County, Georgia",5
546,"Hawaii County, Hawaii",6
547,"Honolulu County, Hawaii",78
549,"Kauai County, Hawaii",5
550,"Maui County, Hawaii",12
551,"Ada County, Idaho",6
610,"Cook County, Illinois",176
616,"Dupage County, Illinois",45
639,"Kane County, Illinois",10
643,"Lake County, Illinois",21
693,"Will County, Illinois",14
695,"Winnebago County, Illinois",8
698,"Allen County, Indiana",12
728,"Hendricks County, Indiana",5
745,"Marion County, Indiana",38
767,"St. Joseph County, Indiana",5
795,"Black Hawk County, Iowa",8
812,"Crawford County, Iowa",8
840,"Johnson County, Iowa",5
865,"Polk County, Iowa",13
885,"Woodbury County, Iowa",5
933,"Johnson County, Kansas",8
974,"Sedgwick County, Kansas",12
992,"Wyandotte County, Kansas",15
1026,"Fayette County, Kentucky",9
1048,"Jefferson County, Kentucky",27
1106,"Warren County, Kentucky",9
1129,"East Baton Rouge Parish, Louisiana",7
1138,"Jefferson Parish, Louisiana",19
1140,"Lafayette Parish, Louisiana",6
1148,"Orleans Parish, Louisiana",11
1149,"Ouachita Parish, Louisiana",5
1179,"Cumberland County, Maine",11
1195,"Baltimore County, Maryland",16
1205,"Howard County, Maryland",9
1207,"Montgomery County, Maryland",50
1208,"Prince George's County, Maryland",39
1216,"Baltimore City, Maryland",16
1221,"Essex County, Massachusetts",23
1223,"Hampden County, Massachusetts",6
1225,"Middlesex County, Massachusetts",44
1227,"Norfolk County, Massachusetts",12
1228,"Plymouth County, Massachusetts",7
1229,"Suffolk County, Massachusetts",35
1230,"Worcester County, Massachusetts",17
