Geography,Cases
"Autauga County, Alabama",297
"Baldwin County, Alabama",830
"Barbour County, Alabama",200
"Bibb County, Alabama",92
"Blount County, Alabama",182
"Bullock County, Alabama",75
"Butler County, Alabama",140
"Calhoun County, Alabama",654
"Chambers County, Alabama",285
"Cherokee County, Alabama",61
"Chilton County, Alabama",142
"Choctaw County, Alabama",47
"Clarke County, Alabama",155
"Clay County, Alabama",57
"Cleburne County, Alabama",31
"Coffee County, Alabama",272
"Colbert County, Alabama",268
"Conecuh County, Alabama",53
"Coosa County, Alabama",86
"Covington County, Alabama",175
"Crenshaw County, Alabama",116
"Cullman County, Alabama",210
"Dale County, Alabama",331
"Dallas County, Alabama",312
"Dekalb County, Alabama",188
"Elmore County, Alabama",496
"Escambia County, Alabama",219
"Etowah County, Alabama",503
"Fayette County, Alabama",43
"Franklin County, Alabama",96
"Geneva County, Alabama",126
"Greene County, Alabama",76
"Hale County, Alabama",134
"Henry County, Alabama",110
"Houston County, Alabama",726
"Jackson County, Alabama",192
"Jefferson County, Alabama","6,085"
"Lamar County, Alabama",52
"Lauderdale County, Alabama",378
"Lawrence County, Alabama",171
"Lee County, Alabama",903
"Limestone County, Alabama",337
"Lowndes County, Alabama",103
"Macon County, Alabama",163
"Madison County, Alabama","2,536"
"Marengo County, Alabama",137
"Marion County, Alabama",60
"Marshall County, Alabama",384
"Mobile County, Alabama","3,119"
"Monroe County, Alabama",113
"Montgomery County, Alabama","2,570"
"Morgan County, Alabama","1,054"
"Perry County, Alabama",79
"Pickens County, Alabama",95
"Pike County, Alabama",327
"Randolph County, Alabama",111
"Russell County, Alabama",455
"St. Clair County, Alabama",272
"Shelby County, Alabama",732
"Sumter County, Alabama",79
"Talladega County, Alabama",502
"Tallapoosa County, Alabama",196
"Tuscaloosa County, Alabama","1,606"
"Walker County, Alabama",234
"Washington County, Alabama",74
"Wilcox County, Alabama",91
"Winston County, Alabama",59
"Aleutians East Borough, Alaska",4
"Aleutians West Census Area, Alaska",13
"Anchorage Municipality, Alaska","2,348"
"Bethel Census Area, Alaska",528
"Bristol Bay Borough, Alaska",2
"Denali Borough, Alaska",9
"Dillingham Census Area, Alaska",28
"Fairbanks North Star Borough, Alaska",713
"Haines Borough, Alaska",0
"Hoonah-Angoon Census Area, Alaska",7
"Juneau City and Borough, Alaska",106
"Kenai Peninsula Borough, Alaska",180
"Ketchikan Gateway Borough, Alaska",42
"Kodiak Island Borough, Alaska",28
"Kusilvak Census Area, Alaska",287
"Lake and Peninsula Borough, Alaska",4
"Matanuska-Susitna Borough, Alaska",388
"Nome Census Area, Alaska",281
"North Slope Borough, Alaska",85
"Northwest Arctic Borough, Alaska",150
"Petersburg Census Area, Alaska",2
"Prince of Wales-Hyder Census Area, Alaska",5
"Sitka City and Borough, Alaska",23
"Skagway Municipality, Alaska",1
"Southeast Fairbanks Census Area, Alaska",18
"Valdez-Cordova Census Area, Alaska",Data not available
