Geography,Cases
"Autauga County, Alabama",149.0
"Baldwin County, Alabama",254.0
"Barbour County, Alabama",104.0
"Bibb County, Alabama",54.0
"Blount County, Alabama",52.0
"Bullock County, Alabama",30.0
"Butler County, Alabama",56.0
"Calhoun County, Alabama",254.0
"Chambers County, Alabama",97.0
"Cherokee County, Alabama",22.0
"Chilton County, Alabama",65.0
"Choctaw County, Alabama",16.0
"Clarke County, Alabama",79.0
"Clay County, Alabama",27.0
"Cleburne County, Alabama",11.0
"Coffee County, Alabama",125.0
"Colbert County, Alabama",123.0
"Conecuh County, Alabama",26.0
"Coosa County, Alabama",42.0
"Covington County, Alabama",64.0
"Crenshaw County, Alabama",47.0
"Cullman County, Alabama",57.0
"Dale County, Alabama",146.0
"Dallas County, Alabama",124.0
"Dekalb County, Alabama",35.0
"Elmore County, Alabama",265.0
"Escambia County, Alabama",106.0
"Etowah County, Alabama",202.0
"Fayette County, Alabama",23.0
"Franklin County, Alabama",53.0
"Geneva County, Alabama",72.0
"Greene County, Alabama",28.0
"Hale County, Alabama",57.0
"Henry County, Alabama",51.0
"Houston County, Alabama",308.0
"Jackson County, Alabama",37.0
"Jefferson County, Alabama",0.0
"Lamar County, Alabama",24.0
"Lauderdale County, Alabama",127.0
"Lawrence County, Alabama",71.0
"Lee County, Alabama",301.0
"Limestone County, Alabama",106.0
"Lowndes County, Alabama",41.0
"Macon County, Alabama",65.0
"Madison County, Alabama",0.0
"Marengo County, Alabama",63.0
"Marion County, Alabama",27.0
"Marshall County, Alabama",75.0
"Mobile County, Alabama",0.0
"Monroe County, Alabama",51.0
"Montgomery County, Alabama",0.0
"Morgan County, Alabama",224.0
"Perry County, Alabama",27.0
"Pickens County, Alabama",39.0
"Pike County, Alabama",134.0
"Randolph County, Alabama",43.0
"Russell County, Alabama",174.0
"St. Clair County, Alabama",94.0
"Shelby County, Alabama",265.0
"Sumter County, Alabama",25.0
"Talladega County, Alabama",224.0
"Tallapoosa County, Alabama",88.0
"Tuscaloosa County, Alabama",644.0
"Walker County, Alabama",106.0
"Washington County, Alabama",31.0
"Wilcox County, Alabama",41.0
"Winston County, Alabama",13.0
"Aleutians East Borough, Alaska",1.0
"Aleutians West Census Area, Alaska",1.0
"Anchorage Municipality, Alaska",0.0
"Bethel Census Area, Alaska",152.0
"Bristol Bay Borough, Alaska",5.0
"Denali Borough, Alaska",2.0
