Geography,Cases
"Autauga County, Alabama",112
"Baldwin County, Alabama",359
"Barbour County, Alabama",114
"Bibb County, Alabama",61
"Blount County, Alabama",51
"Bullock County, Alabama",68
"Butler County, Alabama",57
"Calhoun County, Alabama",260
"Chambers County, Alabama",117
"Cherokee County, Alabama",25
"Chilton County, Alabama",63
"Choctaw County, Alabama",33
"Clarke County, Alabama",38
"Clay County, Alabama",20
"Cleburne County, Alabama",9
"Coffee County, Alabama",79
"Colbert County, Alabama",84
"Conecuh County, Alabama",27
"Coosa County, Alabama",24
"Covington County, Alabama",54
"Crenshaw County, Alabama",31
"Cullman County, Alabama",82
"Dale County, Alabama",132
"Dallas County, Alabama",144
"Dekalb County, Alabama",69
"Elmore County, Alabama",225
"Escambia County, Alabama",76
"Etowah County, Alabama",216
"Fayette County, Alabama",14
"Franklin County, Alabama",26
"Geneva County, Alabama",48
"Greene County, Alabama",32
"Hale County, Alabama",61
"Henry County, Alabama",40
"Houston County, Alabama",389
"Jackson County, Alabama",42
"Jefferson County, Alabama","3,800"
"Lamar County, Alabama",22
"Lauderdale County, Alabama",93
"Lawrence County, Alabama",20
"Lee County, Alabama",347
"Limestone County, Alabama",139
"Lowndes County, Alabama",45
"Macon County, Alabama",106
"Madison County, Alabama",888
"Marengo County, Alabama",33
"Marion County, Alabama",42
"Marshall County, Alabama",123
"Mobile County, Alabama","1,975"
"Monroe County, Alabama",34
"Montgomery County, Alabama","1,577"
"Morgan County, Alabama",166
"Perry County, Alabama",32
"Pickens County, Alabama",50
"Pike County, Alabama",119
"Randolph County, Alabama",20
"Russell County, Alabama",241
"St. Clair County, Alabama",132
"Shelby County, Alabama",349
"Sumter County, Alabama",41
"Talladega County, Alabama",181
"Tallapoosa County, Alabama",81
"Tuscaloosa County, Alabama",583
"Walker County, Alabama",77
"Washington County, Alabama",22
"Wilcox County, Alabama",23
"Winston County, Alabama",15
"Aleutians East Borough, Alaska",Data suppressed
"Aleutians West Census Area, Alaska",Data suppressed
"Anchorage Municipality, Alaska",Data suppressed
"Bethel Census Area, Alaska",Data suppressed
"Bristol Bay Borough, Alaska",Data suppressed
"Denali Borough, Alaska",Data suppressed
"Dillingham Census Area, Alaska",Data suppressed
"Fairbanks North Star Borough, Alaska",Data suppressed
"Haines Borough, Alaska",Data suppressed
"Hoonah-Angoon Census Area, Alaska",Data suppressed
"Juneau City and Borough, Alaska",Data suppressed
"Kenai Peninsula Borough, Alaska",Data suppressed
"Ketchikan Gateway Borough, Alaska",Data suppressed
"Kodiak Island Borough, Alaska",Data suppressed
"Kusilvak Census Area, Alaska",Data suppressed
"Lake and Peninsula Borough, Alaska",Data suppressed
"Matanuska-Susitna Borough, Alaska",Data suppressed
"Nome Census Area, Alaska",Data suppressed
"North Slope Borough, Alaska",Data suppressed
"Northwest Arctic Borough, Alaska",Data suppressed
